Source,Target,Type,Id,Label,Weight
Знание английского языка,QA / Тестирование,Undirected,5098,,3
Управленческое консультирование,QA / Тестирование,Undirected,4477,,4
Microsoft Excel,QA / Тестирование,Undirected,4464,,4
Разработка пользовательских сценариев,QA / Тестирование,Undirected,4421,,4
Аналитическое мышление,QA / Тестирование,Undirected,4389,,6
Моделирование рисков,QA / Тестирование,Undirected,3624,,3
Проведение интервью,QA / Тестирование,Undirected,3234,,2
Python,QA / Тестирование,Undirected,3003,,1
Применение метода Customer Development,QA / Тестирование,Undirected,2757,,1
Работа с инвесторами,QA / Тестирование,Undirected,2675,,1
Научно-исследовательская работа,QA / Тестирование,Undirected,2626,,20
UI/UX Дизайн,QA / Тестирование,Undirected,2232,,6
Публичные выступления и проведение презентаций,QA / Тестирование,Undirected,1692,,3
Анализ продукта,QA / Тестирование,Undirected,805,,2
Маркетинг,QA / Тестирование,Undirected,758,,1
Знание нормативно-правовых документов,QA / Тестирование,Undirected,660,,1
Microsoft PowerPoint,QA / Тестирование,Undirected,583,,4
Управление рисками,QA / Тестирование,Undirected,117,,4
Применение метода Customer Development,UI/UX Дизайн,Undirected,6722,,3
Применение метода Customer Development,Математический анализ,Undirected,6548,,1
Применение метода Customer Development,Умение принимать решения,Undirected,6477,,3
Применение метода Customer Development,Знание английского языка,Undirected,5071,,5
Применение метода Customer Development,Управление проектами,Undirected,4437,,21
Применение метода Customer Development,Самостоятельность,Undirected,3312,,1
Применение метода Customer Development,Визуализация данных,Undirected,3267,,1
Применение метода Customer Development,Научно-исследовательская работа,Undirected,3192,,17
Применение метода Customer Development,Публичные выступления и проведение презентаций,Undirected,3185,,2
Применение метода Customer Development,Проведение интервью,Undirected,2937,,3
Применение метода Customer Development,Microsoft Excel,Undirected,2836,,1
Применение метода Customer Development,Аналитическое мышление,Undirected,2227,,12
Применение метода Customer Development,Анализ данных,Undirected,914,,2
Применение метода Customer Development,Маркетинг,Undirected,775,,9
Применение метода Customer Development,Разработка пользовательских сценариев,Undirected,193,,7
Управление продуктом,Применение метода Customer Development,Undirected,4202,,37
Составление карты пути клиента (CJM),Применение метода Customer Development,Undirected,4036,,6
Управление проектами,Навыки оценки эффективности рекламных инструментов,Undirected,5779,,2
Управление проектами,Ведение финансовой отчетности,Undirected,5671,,4
Управление проектами,Управление затратами,Undirected,5396,,5
Управление проектами,Самостоятельность,Undirected,5330,,1
